,Precinct,Race,Candidate,Total Votes,Vote Percentage
719,1049,District 3,Phyllis Viagran,137,52.9
720,1049,District 3,Erin Gallegos Reid,36,13.9
721,1049,District 3,Larry La Rose,45,17.37
724,1050,Mayor,Ray Adam Basaldua,2,1.98
725,1050,Mayor,Christopher T. Schuchardt,19,18.81
726,1050,Mayor,Christopher Longoria,2,1.98
727,1050,Mayor,Ron Nirenberg,69,68.32
728,1050,Mayor,Armando Dominguez,0,0.0
729,1050,Mayor,Michael Idrogo,0,0.0
730,1050,Mayor,Gary Allen,2,1.98
731,1050,Mayor,Michael Samaniego,0,0.0
732,1050,Mayor,Diana Flores Uriegas,7,6.93
735,1050,District 3,Jayden Muñoz,21,21.21
736,1050,District 3,Phyllis Viagran,48,48.48
737,1050,District 3,Erin Gallegos Reid,13,13.13
738,1050,District 3,Larry La Rose,17,17.17
741,1051,Mayor,Ray Adam Basaldua,6,2.13
742,1051,Mayor,Christopher T. Schuchardt,57,20.21
743,1051,Mayor,Christopher Longoria,6,2.13
744,1051,Mayor,Ron Nirenberg,169,59.93
745,1051,Mayor,Armando Dominguez,5,1.77
746,1051,Mayor,Michael Idrogo,0,0.0
747,1051,Mayor,Gary Allen,22,7.8
748,1051,Mayor,Michael Samaniego,4,1.42
749,1051,Mayor,Diana Flores Uriegas,13,4.61
752,1051,District 3,Jayden Muñoz,49,18.56
753,1051,District 3,Phyllis Viagran,125,47.35
754,1051,District 3,Erin Gallegos Reid,48,18.18
755,1051,District 3,Larry La Rose,42,15.91
758,1052,Mayor,Ray Adam Basaldua,10,4.07
759,1052,Mayor,Christopher T. Schuchardt,42,17.07
760,1052,Mayor,Christopher Longoria,6,2.44
761,1052,Mayor,Ron Nirenberg,156,63.41
762,1052,Mayor,Armando Dominguez,3,1.22
763,1052,Mayor,Michael Idrogo,0,0.0
764,1052,Mayor,Gary Allen,14,5.69
765,1052,Mayor,Michael Samaniego,5,2.03
766,1052,Mayor,Diana Flores Uriegas,10,4.07
769,1052,District 3,Jayden Muñoz,41,17.6
770,1052,District 3,Phyllis Viagran,110,47.21
771,1052,District 3,Erin Gallegos Reid,48,20.6
772,1052,District 3,Larry La Rose,34,14.59
775,1053,Mayor,Ray Adam Basaldua,1,2.94
776,1053,Mayor,Christopher T. Schuchardt,5,14.71
777,1053,Mayor,Christopher Longoria,1,2.94
778,1053,Mayor,Ron Nirenberg,24,70.59
779,1053,Mayor,Armando Dominguez,0,0.0
780,1053,Mayor,Michael Idrogo,1,2.94
781,1053,Mayor,Gary Allen,0,0.0
782,1053,Mayor,Michael Samaniego,1,2.94
783,1053,Mayor,Diana Flores Uriegas,1,2.94
786,1053,District 3,Jayden Muñoz,6,18.18
787,1053,District 3,Phyllis Viagran,15,45.45
788,1053,District 3,Erin Gallegos Reid,5,15.15
789,1053,District 3,Larry La Rose,7,21.21
792,1054,Mayor,Ray Adam Basaldua,7,2.24
793,1054,Mayor,Christopher T. Schuchardt,49,15.65
794,1054,Mayor,Christopher Longoria,7,2.24
795,1054,Mayor,Ron Nirenberg,204,65.18
796,1054,Mayor,Armando Dominguez,5,1.6
797,1054,Mayor,Michael Idrogo,2,0.64
798,1054,Mayor,Gary Allen,19,6.07
799,1054,Mayor,Michael Samaniego,5,1.6
800,1054,Mayor,Diana Flores Uriegas,15,4.79
803,1054,District 3,Jayden Muñoz,35,11.59
804,1054,District 3,Phyllis Viagran,171,56.62
805,1054,District 3,Erin Gallegos Reid,58,19.21
806,1054,District 3,Larry La Rose,38,12.58
809,1055,Mayor,Ray Adam Basaldua,6,1.68
810,1055,Mayor,Christopher T. Schuchardt,45,12.61
811,1055,Mayor,Christopher Longoria,14,3.92
812,1055,Mayor,Ron Nirenberg,222,62.18
813,1055,Mayor,Armando Dominguez,7,1.96
814,1055,Mayor,Michael Idrogo,1,0.28
815,1055,Mayor,Gary Allen,23,6.44
816,1055,Mayor,Michael Samaniego,20,5.6
817,1055,Mayor,Diana Flores Uriegas,19,5.32
820,1055,District 6,Irina Rudolph,126,35.49
821,1055,District 6,Melissa Cabello Havrda,196,55.21
822,1055,District 6,Chris Baecker,33,9.3
825,1056,Mayor,Ray Adam Basaldua,12,2.86
826,1056,Mayor,Christopher T. Schuchardt,72,17.18
827,1056,Mayor,Christopher Longoria,11,2.63
828,1056,Mayor,Ron Nirenberg,257,61.34
829,1056,Mayor,Armando Dominguez,3,0.72
830,1056,Mayor,Michael Idrogo,0,0.0
831,1056,Mayor,Gary Allen,21,5.01
832,1056,Mayor,Michael Samaniego,13,3.1
833,1056,Mayor,Diana Flores Uriegas,30,7.16
836,1056,District 3,Jayden Muñoz,66,16.92
837,1056,District 3,Phyllis Viagran,193,49.49
838,1056,District 3,Erin Gallegos Reid,86,22.05
839,1056,District 3,Larry La Rose,45,11.54
842,1057,Mayor,Ray Adam Basaldua,0,0.0
843,1057,Mayor,Christopher T. Schuchardt,2,66.67
844,1057,Mayor,Christopher Longoria,0,0.0
845,1057,Mayor,Ron Nirenberg,0,0.0
846,1057,Mayor,Armando Dominguez,0,0.0
847,1057,Mayor,Michael Idrogo,0,0.0
848,1057,Mayor,Gary Allen,0,0.0
849,1057,Mayor,Michael Samaniego,0,0.0
850,1057,Mayor,Diana Flores Uriegas,1,33.33
853,1057,District 3,Jayden Muñoz,1,25.0
854,1057,District 3,Phyllis Viagran,0,0.0
855,1057,District 3,Erin Gallegos Reid,1,25.0
856,1057,District 3,Larry La Rose,2,50.0
859,1058,Mayor,Ray Adam Basaldua,1,7.69
860,1058,Mayor,Christopher T. Schuchardt,1,7.69
861,1058,Mayor,Christopher Longoria,0,0.0
862,1058,Mayor,Ron Nirenberg,8,61.54
863,1058,Mayor,Armando Dominguez,1,7.69
864,1058,Mayor,Michael Idrogo,0,0.0
865,1058,Mayor,Gary Allen,1,7.69
866,1058,Mayor,Michael Samaniego,0,0.0
867,1058,Mayor,Diana Flores Uriegas,1,7.69
870,1058,District 3,Jayden Muñoz,1,8.33
871,1058,District 3,Phyllis Viagran,2,16.67
872,1058,District 3,Erin Gallegos Reid,3,25.0
873,1058,District 3,Larry La Rose,6,50.0
876,1059,Mayor,Ray Adam Basaldua,0,0.0
877,1059,Mayor,Christopher T. Schuchardt,9,32.14
878,1059,Mayor,Christopher Longoria,0,0.0
879,1059,Mayor,Ron Nirenberg,12,42.86
880,1059,Mayor,Armando Dominguez,0,0.0
881,1059,Mayor,Michael Idrogo,0,0.0
882,1059,Mayor,Gary Allen,4,14.29
883,1059,Mayor,Michael Samaniego,1,3.57
884,1059,Mayor,Diana Flores Uriegas,2,7.14
887,1059,District 3,Jayden Muñoz,5,18.52
888,1059,District 3,Phyllis Viagran,11,40.74
889,1059,District 3,Erin Gallegos Reid,6,22.22
890,1059,District 3,Larry La Rose,5,18.52
893,1060,Mayor,Ray Adam Basaldua,5,2.14
894,1060,Mayor,Christopher T. Schuchardt,20,8.55
895,1060,Mayor,Christopher Longoria,6,2.56
896,1060,Mayor,Ron Nirenberg,163,69.66
897,1060,Mayor,Armando Dominguez,2,0.85
898,1060,Mayor,Michael Idrogo,1,0.43
899,1060,Mayor,Gary Allen,15,6.41
900,1060,Mayor,Michael Samaniego,7,2.99
901,1060,Mayor,Diana Flores Uriegas,15,6.41
904,1060,District 4,Adriana Rocha Garcia,165,77.46
905,1060,District 4,Gregorio De La Paz,48,22.54
908,1061,Mayor,Ray Adam Basaldua,5,3.12
909,1061,Mayor,Christopher T. Schuchardt,23,14.37
910,1061,Mayor,Christopher Longoria,2,1.25
911,1061,Mayor,Ron Nirenberg,104,65.0
912,1061,Mayor,Armando Dominguez,5,3.12
913,1061,Mayor,Michael Idrogo,1,0.62
914,1061,Mayor,Gary Allen,9,5.62
915,1061,Mayor,Michael Samaniego,1,0.62
916,1061,Mayor,Diana Flores Uriegas,10,6.25
919,1061,District 4,Adriana Rocha Garcia,125,82.78
920,1061,District 4,Gregorio De La Paz,26,17.22
923,1062,Mayor,Ray Adam Basaldua,0,0.0
924,1062,Mayor,Christopher T. Schuchardt,9,39.13
925,1062,Mayor,Christopher Longoria,1,4.35
926,1062,Mayor,Ron Nirenberg,11,47.83
927,1062,Mayor,Armando Dominguez,0,0.0
928,1062,Mayor,Michael Idrogo,0,0.0
929,1062,Mayor,Gary Allen,2,8.7
930,1062,Mayor,Michael Samaniego,0,0.0
931,1062,Mayor,Diana Flores Uriegas,0,0.0
934,1062,District 4,Adriana Rocha Garcia,8,38.1
935,1062,District 4,Gregorio De La Paz,13,61.9
938,1063,Mayor,Ray Adam Basaldua,0,0.0
939,1063,Mayor,Christopher T. Schuchardt,1,25.0
940,1063,Mayor,Christopher Longoria,0,0.0
941,1063,Mayor,Ron Nirenberg,3,75.0
942,1063,Mayor,Armando Dominguez,0,0.0
943,1063,Mayor,Michael Idrogo,0,0.0
944,1063,Mayor,Gary Allen,0,0.0
945,1063,Mayor,Michael Samaniego,0,0.0
946,1063,Mayor,Diana Flores Uriegas,0,0.0
949,1063,District 4,Adriana Rocha Garcia,0,0.0
950,1063,District 4,Gregorio De La Paz,2,100.0
953,1069,Mayor,Ray Adam Basaldua,2,1.52
954,1069,Mayor,Christopher T. Schuchardt,32,24.24
955,1069,Mayor,Christopher Longoria,4,3.03
956,1069,Mayor,Ron Nirenberg,74,56.06
957,1069,Mayor,Armando Dominguez,3,2.27
958,1069,Mayor,Michael Idrogo,0,0.0
959,1069,Mayor,Gary Allen,13,9.85
960,1069,Mayor,Michael Samaniego,1,0.76
961,1069,Mayor,Diana Flores Uriegas,3,2.27
964,1069,District 6,Irina Rudolph,44,35.2
965,1069,District 6,Melissa Cabello Havrda,55,44.0
966,1069,District 6,Chris Baecker,26,20.8
969,1070,Mayor,Ray Adam Basaldua,4,3.67
970,1070,Mayor,Christopher T. Schuchardt,21,19.27
971,1070,Mayor,Christopher Longoria,4,3.67
972,1070,Mayor,Ron Nirenberg,60,55.05
973,1070,Mayor,Armando Dominguez,2,1.83
974,1070,Mayor,Michael Idrogo,4,3.67
975,1070,Mayor,Gary Allen,2,1.83
976,1070,Mayor,Michael Samaniego,6,5.5
977,1070,Mayor,Diana Flores Uriegas,6,5.5
980,1070,District 4,Adriana Rocha Garcia,66,72.53
981,1070,District 4,Gregorio De La Paz,25,27.47
984,1071,Mayor,Ray Adam Basaldua,7,3.54
985,1071,Mayor,Christopher T. Schuchardt,31,15.66
986,1071,Mayor,Christopher Longoria,4,2.02
987,1071,Mayor,Ron Nirenberg,134,67.68
988,1071,Mayor,Armando Dominguez,2,1.01
989,1071,Mayor,Michael Idrogo,2,1.01
990,1071,Mayor,Gary Allen,8,4.04
991,1071,Mayor,Michael Samaniego,2,1.01
992,1071,Mayor,Diana Flores Uriegas,8,4.04
995,1071,District 4,Adriana Rocha Garcia,129,75.88
996,1071,District 4,Gregorio De La Paz,41,24.12
999,1072,Mayor,Ray Adam Basaldua,2,0.95
1000,1072,Mayor,Christopher T. Schuchardt,26,12.32
1001,1072,Mayor,Christopher Longoria,3,1.42
1002,1072,Mayor,Ron Nirenberg,145,68.72
1003,1072,Mayor,Armando Dominguez,4,1.9
1004,1072,Mayor,Michael Idrogo,4,1.9
1005,1072,Mayor,Gary Allen,13,6.16
1006,1072,Mayor,Michael Samaniego,4,1.9
1007,1072,Mayor,Diana Flores Uriegas,10,4.74
1010,1072,District 6,Irina Rudolph,61,29.9
1011,1072,District 6,Melissa Cabello Havrda,125,61.27
1012,1072,District 6,Chris Baecker,18,8.82
1015,1074,Mayor,Ray Adam Basaldua,0,0.0
1016,1074,Mayor,Christopher T. Schuchardt,0,0.0
1017,1074,Mayor,Christopher Longoria,0,0.0
1018,1074,Mayor,Ron Nirenberg,2,100.0
1019,1074,Mayor,Armando Dominguez,0,0.0
1020,1074,Mayor,Michael Idrogo,0,0.0
1021,1074,Mayor,Gary Allen,0,0.0
1022,1074,Mayor,Michael Samaniego,0,0.0
1023,1074,Mayor,Diana Flores Uriegas,0,0.0
1026,1074,District 5,Arturo Espinosa,1,33.33
1027,1074,District 5,Teri Castillo,2,66.67
1028,1074,District 5,Rudy Lopez,0,0.0
1031,1075,Mayor,Ray Adam Basaldua,5,2.89
1032,1075,Mayor,Christopher T. Schuchardt,33,19.08
1033,1075,Mayor,Christopher Longoria,9,5.2
1034,1075,Mayor,Ron Nirenberg,105,60.69
1035,1075,Mayor,Armando Dominguez,2,1.16
1036,1075,Mayor,Michael Idrogo,1,0.58
1037,1075,Mayor,Gary Allen,8,4.62
1038,1075,Mayor,Michael Samaniego,1,0.58
1039,1075,Mayor,Diana Flores Uriegas,9,5.2
1042,1075,District 4,Adriana Rocha Garcia,123,76.4
1043,1075,District 4,Gregorio De La Paz,38,23.6
1046,1076,Mayor,Ray Adam Basaldua,12,3.64
1047,1076,Mayor,Christopher T. Schuchardt,67,20.3
1048,1076,Mayor,Christopher Longoria,12,3.64
1049,1076,Mayor,Ron Nirenberg,186,56.36
1050,1076,Mayor,Armando Dominguez,1,0.3
1051,1076,Mayor,Michael Idrogo,1,0.3
1052,1076,Mayor,Gary Allen,26,7.88
1053,1076,Mayor,Michael Samaniego,16,4.85
1054,1076,Mayor,Diana Flores Uriegas,9,2.73
1057,1076,District 4,Adriana Rocha Garcia,201,70.77
1058,1076,District 4,Gregorio De La Paz,83,29.23
1061,1077,Mayor,Ray Adam Basaldua,2,1.09
1062,1077,Mayor,Christopher T. Schuchardt,12,6.52
1063,1077,Mayor,Christopher Longoria,1,0.54
1064,1077,Mayor,Ron Nirenberg,156,84.78
1065,1077,Mayor,Armando Dominguez,3,1.63
1066,1077,Mayor,Michael Idrogo,0,0.0
1067,1077,Mayor,Gary Allen,2,1.09
1068,1077,Mayor,Michael Samaniego,1,0.54
1069,1077,Mayor,Diana Flores Uriegas,7,3.8
1072,1077,District 5,Arturo Espinosa,10,5.56
1073,1077,District 5,Teri Castillo,119,66.11
1074,1077,District 5,Rudy Lopez,51,28.33
1077,1078,Mayor,Ray Adam Basaldua,0,0.0
1078,1078,Mayor,Christopher T. Schuchardt,0,0.0
1079,1078,Mayor,Christopher Longoria,2,3.7
1080,1078,Mayor,Ron Nirenberg,42,77.78
1081,1078,Mayor,Armando Dominguez,2,3.7
1082,1078,Mayor,Michael Idrogo,0,0.0
1083,1078,Mayor,Gary Allen,2,3.7
1084,1078,Mayor,Michael Samaniego,1,1.85
1085,1078,Mayor,Diana Flores Uriegas,5,9.26
1088,1078,District 5,Arturo Espinosa,4,7.69
1089,1078,District 5,Teri Castillo,28,53.85
1090,1078,District 5,Rudy Lopez,20,38.46
1093,1079,Mayor,Ray Adam Basaldua,6,1.83
1094,1079,Mayor,Christopher T. Schuchardt,57,17.43
1095,1079,Mayor,Christopher Longoria,7,2.14
1096,1079,Mayor,Ron Nirenberg,207,63.3
1097,1079,Mayor,Armando Dominguez,4,1.22
1098,1079,Mayor,Michael Idrogo,4,1.22
1099,1079,Mayor,Gary Allen,16,4.89
1100,1079,Mayor,Michael Samaniego,12,3.67
1101,1079,Mayor,Diana Flores Uriegas,14,4.28
1104,1079,District 4,Adriana Rocha Garcia,222,78.17
1105,1079,District 4,Gregorio De La Paz,62,21.83
1108,1080,Mayor,Ray Adam Basaldua,2,1.2
1109,1080,Mayor,Christopher T. Schuchardt,19,11.45
1110,1080,Mayor,Christopher Longoria,13,7.83
1111,1080,Mayor,Ron Nirenberg,106,63.86
1112,1080,Mayor,Armando Dominguez,3,1.81
1113,1080,Mayor,Michael Idrogo,1,0.6
1114,1080,Mayor,Gary Allen,13,7.83
1115,1080,Mayor,Michael Samaniego,4,2.41
1116,1080,Mayor,Diana Flores Uriegas,5,3.01
1119,1080,District 6,Irina Rudolph,43,30.07
1120,1080,District 6,Melissa Cabello Havrda,74,51.75
1121,1080,District 6,Chris Baecker,26,18.18
1124,1083,Mayor,Ray Adam Basaldua,7,1.56
1125,1083,Mayor,Christopher T. Schuchardt,80,17.86
1126,1083,Mayor,Christopher Longoria,10,2.23
1127,1083,Mayor,Ron Nirenberg,295,65.85
1128,1083,Mayor,Armando Dominguez,3,0.67
1129,1083,Mayor,Michael Idrogo,2,0.45
1130,1083,Mayor,Gary Allen,22,4.91
1131,1083,Mayor,Michael Samaniego,11,2.46
1132,1083,Mayor,Diana Flores Uriegas,18,4.02
1135,1083,District 4,Adriana Rocha Garcia,292,77.66
1136,1083,District 4,Gregorio De La Paz,84,22.34
1139,1084,Mayor,Ray Adam Basaldua,9,4.57
1140,1084,Mayor,Christopher T. Schuchardt,30,15.23
1141,1084,Mayor,Christopher Longoria,7,3.55
1142,1084,Mayor,Ron Nirenberg,108,54.82
1143,1084,Mayor,Armando Dominguez,6,3.05
1144,1084,Mayor,Michael Idrogo,2,1.02
1145,1084,Mayor,Gary Allen,14,7.11
1146,1084,Mayor,Michael Samaniego,10,5.08
1147,1084,Mayor,Diana Flores Uriegas,11,5.58
1150,1084,District 6,Irina Rudolph,55,30.73
1151,1084,District 6,Melissa Cabello Havrda,93,51.96
1152,1084,District 6,Chris Baecker,31,17.32
1155,1085,Mayor,Ray Adam Basaldua,6,3.7
1156,1085,Mayor,Christopher T. Schuchardt,27,16.67
1157,1085,Mayor,Christopher Longoria,2,1.23
1158,1085,Mayor,Ron Nirenberg,103,63.58
1159,1085,Mayor,Armando Dominguez,4,2.47
1160,1085,Mayor,Michael Idrogo,1,0.62
1161,1085,Mayor,Gary Allen,10,6.17
1162,1085,Mayor,Michael Samaniego,0,0.0
1163,1085,Mayor,Diana Flores Uriegas,9,5.56
1166,1085,District 4,Adriana Rocha Garcia,116,81.12
1167,1085,District 4,Gregorio De La Paz,27,18.88
1170,1086,Mayor,Ray Adam Basaldua,4,1.18
1171,1086,Mayor,Christopher T. Schuchardt,47,13.91
1172,1086,Mayor,Christopher Longoria,12,3.55
1173,1086,Mayor,Ron Nirenberg,224,66.27
1174,1086,Mayor,Armando Dominguez,4,1.18
1175,1086,Mayor,Michael Idrogo,6,1.78
1176,1086,Mayor,Gary Allen,17,5.03
1177,1086,Mayor,Michael Samaniego,12,3.55
1178,1086,Mayor,Diana Flores Uriegas,12,3.55
1181,1086,District 6,Irina Rudolph,85,26.73
1182,1086,District 6,Melissa Cabello Havrda,202,63.52
1183,1086,District 6,Chris Baecker,31,9.75
1186,1087,Mayor,Ray Adam Basaldua,5,3.16
1187,1087,Mayor,Christopher T. Schuchardt,18,11.39
1188,1087,Mayor,Christopher Longoria,8,5.06
1189,1087,Mayor,Ron Nirenberg,113,71.52
1190,1087,Mayor,Armando Dominguez,1,0.63
1191,1087,Mayor,Michael Idrogo,1,0.63
1192,1087,Mayor,Gary Allen,6,3.8
1193,1087,Mayor,Michael Samaniego,2,1.27
1194,1087,Mayor,Diana Flores Uriegas,4,2.53
1197,1087,District 6,Irina Rudolph,38,24.84
1198,1087,District 6,Melissa Cabello Havrda,96,62.75
1199,1087,District 6,Chris Baecker,19,12.42
1202,1088,Mayor,Ray Adam Basaldua,1,1.23
1203,1088,Mayor,Christopher T. Schuchardt,14,17.28
1204,1088,Mayor,Christopher Longoria,1,1.23
1205,1088,Mayor,Ron Nirenberg,54,66.67
1206,1088,Mayor,Armando Dominguez,4,4.94
1207,1088,Mayor,Michael Idrogo,0,0.0
1208,1088,Mayor,Gary Allen,6,7.41
1209,1088,Mayor,Michael Samaniego,1,1.23
1210,1088,Mayor,Diana Flores Uriegas,0,0.0
1213,1088,District 5,Arturo Espinosa,2,2.67
1214,1088,District 5,Teri Castillo,40,53.33
1215,1088,District 5,Rudy Lopez,33,44.0
1218,1089,Mayor,Ray Adam Basaldua,1,10.0
1219,1089,Mayor,Christopher T. Schuchardt,0,0.0
1220,1089,Mayor,Christopher Longoria,0,0.0
1221,1089,Mayor,Ron Nirenberg,8,80.0
1222,1089,Mayor,Armando Dominguez,0,0.0
1223,1089,Mayor,Michael Idrogo,0,0.0
1224,1089,Mayor,Gary Allen,0,0.0
1225,1089,Mayor,Michael Samaniego,0,0.0
1226,1089,Mayor,Diana Flores Uriegas,1,10.0
1229,1089,District 3,Jayden Muñoz,1,10.0
1230,1089,District 3,Phyllis Viagran,7,70.0
1231,1089,District 3,Erin Gallegos Reid,2,20.0
1232,1089,District 3,Larry La Rose,0,0.0
1235,1090,Mayor,Ray Adam Basldua,0,
1236,1090,Mayor,Christopher T. Schuchardt,0,
1237,1090,Mayor,Christopher Longoria,0,
1238,1090,Mayor,Ron Nirenberg,0,
1239,1090,Mayor,Armando Dominguez,0,
1240,1090,Mayor,Michael Idrogo,0,
1241,1090,Mayor,Gary Allen,0,
1242,1090,Mayor,Michael Idrogo,0,
1243,1090,Mayor,Diana Flores Uriegas,0,
1246,1090,District 4,Adriana Rocha Garcia,0,
1247,1090,District 4,Gregorio De La Paz,0,
1250,1091,Mayor,Ray Adam Basaldua,4,1.24
1251,1091,Mayor,Christopher T. Schuchardt,74,22.91
1252,1091,Mayor,Christopher Longoria,10,3.1
1253,1091,Mayor,Ron Nirenberg,193,59.75
1254,1091,Mayor,Armando Dominguez,4,1.24
1255,1091,Mayor,Michael Idrogo,1,0.31
1256,1091,Mayor,Gary Allen,6,1.86
1257,1091,Mayor,Michael Samaniego,9,2.79
1258,1091,Mayor,Diana Flores Uriegas,22,6.81
1261,1091,District 3,Jayden Muñoz,55,17.3
1262,1091,District 3,Phyllis Viagran,149,46.86
1263,1091,District 3,Erin Gallegos Reid,71,22.33
1264,1091,District 3,Larry La Rose,43,13.52
1267,1092,Mayor,Ray Adam Basaldua,4,3.2
1268,1092,Mayor,Christopher T. Schuchardt,8,6.4
1269,1092,Mayor,Christopher Longoria,5,4.0
1270,1092,Mayor,Ron Nirenberg,94,75.2
1271,1092,Mayor,Armando Dominguez,1,0.8
1272,1092,Mayor,Michael Idrogo,0,0.0
1273,1092,Mayor,Gary Allen,3,2.4
1274,1092,Mayor,Michael Samaniego,5,4.0
1275,1092,Mayor,Diana Flores Uriegas,5,4.0
1278,1092,District 4,Adriana Rocha Garcia,92,80.0
1279,1092,District 4,Gregorio De La Paz,23,20.0
1282,1093,Mayor,Ray Adam Basaldua,5,3.52
1283,1093,Mayor,Christopher T. Schuchardt,17,11.97
1284,1093,Mayor,Christopher Longoria,5,3.52
1285,1093,Mayor,Ron Nirenberg,91,64.08
1286,1093,Mayor,Armando Dominguez,0,0.0
1287,1093,Mayor,Michael Idrogo,0,0.0
1288,1093,Mayor,Gary Allen,9,6.34
1289,1093,Mayor,Michael Samaniego,10,7.04
1290,1093,Mayor,Diana Flores Uriegas,5,3.52
1293,1093,District 6,Irina Rudolph,50,36.76
1294,1093,District 6,Melissa Cabello Havrda,65,47.79
1295,1093,District 6,Chris Baecker,21,15.44
1298,1094,Mayor,Ray Adam Basaldua,5,2.05
1299,1094,Mayor,Christopher T. Schuchardt,15,6.15
1300,1094,Mayor,Christopher Longoria,11,4.51
1301,1094,Mayor,Ron Nirenberg,173,70.9
1302,1094,Mayor,Armando Dominguez,7,2.87
1303,1094,Mayor,Michael Idrogo,1,0.41
1304,1094,Mayor,Gary Allen,19,7.79
1305,1094,Mayor,Michael Samaniego,5,2.05
1306,1094,Mayor,Diana Flores Uriegas,8,3.28
1309,1094,District 4,Adriana Rocha Garcia,177,79.73
1310,1094,District 4,Gregorio De La Paz,45,20.27
1313,1096,Mayor,Ray Adam Basaldua,1,7.69
1314,1096,Mayor,Christopher T. Schuchardt,0,0.0
1315,1096,Mayor,Christopher Longoria,0,0.0
1316,1096,Mayor,Ron Nirenberg,10,76.92
1317,1096,Mayor,Armando Dominguez,0,0.0
1318,1096,Mayor,Michael Idrogo,0,0.0
1319,1096,Mayor,Gary Allen,1,7.69
1320,1096,Mayor,Michael Samaniego,1,7.69
1321,1096,Mayor,Diana Flores Uriegas,0,0.0
1324,1096,District 4,Adriana Rocha Garcia,10,90.91
1325,1096,District 4,Gregorio De La Paz,1,9.09
1328,1097,Mayor,Ray Adam Basaldua,2,2.53
1329,1097,Mayor,Christopher T. Schuchardt,11,13.92
1330,1097,Mayor,Christopher Longoria,3,3.8
1331,1097,Mayor,Ron Nirenberg,56,70.89
1332,1097,Mayor,Armando Dominguez,1,1.27
1333,1097,Mayor,Michael Idrogo,0,0.0
1334,1097,Mayor,Gary Allen,2,2.53
1335,1097,Mayor,Michael Samaniego,1,1.27
1336,1097,Mayor,Diana Flores Uriegas,3,3.8
1339,1097,District 5,Arturo Espinosa,8,10.39
1340,1097,District 5,Teri Castillo,46,59.74
1341,1097,District 5,Rudy Lopez,23,29.87
1344,1098,Mayor,Ray Adam Basaldua,1,0.53
1345,1098,Mayor,Christopher T. Schuchardt,18,9.52
1346,1098,Mayor,Christopher Longoria,3,1.59
1347,1098,Mayor,Ron Nirenberg,145,76.72
1348,1098,Mayor,Armando Dominguez,1,0.53
1349,1098,Mayor,Michael Idrogo,0,0.0
1350,1098,Mayor,Gary Allen,3,1.59
1351,1098,Mayor,Michael Samaniego,5,2.65
1352,1098,Mayor,Diana Flores Uriegas,13,6.88
1355,1098,District 5,Arturo Espinosa,15,8.33
1356,1098,District 5,Teri Castillo,124,68.89
1357,1098,District 5,Rudy Lopez,41,22.78
1360,1099,Mayor,Ray Adam Basaldua,5,1.11
1361,1099,Mayor,Christopher T. Schuchardt,66,14.63
1362,1099,Mayor,Christopher Longoria,10,2.22
1363,1099,Mayor,Ron Nirenberg,300,66.52
1364,1099,Mayor,Armando Dominguez,3,0.67
1365,1099,Mayor,Michael Idrogo,5,1.11
1366,1099,Mayor,Gary Allen,27,5.99
1367,1099,Mayor,Michael Samaniego,17,3.77
1368,1099,Mayor,Diana Flores Uriegas,18,3.99
1371,1099,District 6,Irina Rudolph,131,30.32
1372,1099,District 6,Melissa Cabello Havrda,246,56.94
1373,1099,District 6,Chris Baecker,55,12.73
1376,1100,Mayor,Ray Adam Basaldua,8,2.35
1377,1100,Mayor,Christopher T. Schuchardt,61,17.89
1378,1100,Mayor,Christopher Longoria,11,3.23
1379,1100,Mayor,Ron Nirenberg,202,59.24
1380,1100,Mayor,Armando Dominguez,6,1.76
1381,1100,Mayor,Michael Idrogo,0,0.0
1382,1100,Mayor,Gary Allen,25,7.33
1383,1100,Mayor,Michael Samaniego,15,4.4
1384,1100,Mayor,Diana Flores Uriegas,13,3.81
1387,1100,District 4,Adriana Rocha Garcia,211,72.51
1388,1100,District 4,Gregorio De La Paz,80,27.49
1391,1101,Mayor,Ray Adam Basldua,0,
1392,1101,Mayor,Christopher T. Schuchardt,0,
1393,1101,Mayor,Christopher Longoria,0,
1394,1101,Mayor,Ron Nirenberg,0,
1395,1101,Mayor,Armando Dominguez,0,
1396,1101,Mayor,Michael Idrogo,0,
1397,1101,Mayor,Gary Allen,0,
1398,1101,Mayor,Michael Idrogo,0,
1399,1101,Mayor,Diana Flores Uriegas,0,
1402,1101,District 4,Adriana Rocha Garcia,0,
1403,1101,District 4,Gregorio De La Paz,0,
1406,1102,Mayor,Ray Adam Basaldua,0,0.0
1407,1102,Mayor,Christopher T. Schuchardt,0,0.0
1408,1102,Mayor,Christopher Longoria,0,0.0
1409,1102,Mayor,Ron Nirenberg,4,66.67
1410,1102,Mayor,Armando Dominguez,0,0.0
1411,1102,Mayor,Michael Idrogo,0,0.0
1412,1102,Mayor,Gary Allen,2,33.33
1413,1102,Mayor,Michael Samaniego,0,0.0
1414,1102,Mayor,Diana Flores Uriegas,0,0.0
1417,1102,District 3,Jayden Muñoz,0,0.0
1418,1102,District 3,Phyllis Viagran,3,60.0
1419,1102,District 3,Erin Gallegos Reid,1,20.0
1420,1102,District 3,Larry La Rose,1,20.0
1423,1104,Mayor,Ray Adam Basaldua,15,2.5
1424,1104,Mayor,Christopher T. Schuchardt,107,17.8
1425,1104,Mayor,Christopher Longoria,16,2.66
1426,1104,Mayor,Ron Nirenberg,379,63.06
