Precinct,Registered Voters,Ballots Cast,Voter Turnout (%)
4026,"3,525",288,13.36%
4027,"1,605",231,21.87%
4028,"2,319",334,23.42%
4029,"2,441",155,12.37%
4030,417,24,10.79%
4031,"1,927",170,14.43%
4032,"1,746",203,18.67%
4033,"3,345",388,18.92%
4034,"1,770",199,18.47%
4035,33,3,21.21%
4036,"2,589",349,20.28%
4037,"1,809",136,11.28%
4038,"2,854",459,27.89%
4039,"1,349",133,16.16%
4040,"1,176",109,16.33%
4041,"2,059",218,15.93%
4042,239,14,9.20%
4043,"3,225",124,6.51%
4044,"1,386",105,16.16%
4045,"2,499",253,19.17%
4046,"2,549",513,30.52%
4047,"2,835",171,12.52%
4048,"1,953",159,14.64%
4049,"2,559",159,11.22%
4052,"2,163",288,23.21%
4053,825,18,3.64%
4054,"3,798",104,4.24%
4055,"1,604",55,5.98%
4056,"3,270",103,5.08%
4057,"1,657",82,7.18%
4059,"2,295",94,5.88%
4060,115,0,0.87%
4061,670,9,2.09%
4062,720,58,14.72%
4063,"1,083",72,11.91%
4064,"2,324",310,19.10%
4065,"4,359",235,9.20%
4066,"3,372",102,4.27%
4067,"1,970",96,6.35%
4068,552,35,9.96%
4070,"3,157",393,18.31%
4071,"1,514",32,15.85%
4075,640,73,18.28%
4076,"3,725",187,9.58%
4077,"3,668",364,14.31%
4079,"1,626",38,3.32%
4080,"2,342",162,10.38%
4082,"1,975",118,9.52%
4083,842,17,3.09%
4084,701,57,12.13%
4088,"3,983",132,5.67%
4089,"3,267",63,2.72%
4090,"2,114",33,3.31%
4091,"1,004",123,20.42%
4092,796,18,3.39%
4093,"2,703",279,16.39%
4094,"1,831",249,22.56%
4095,"1,685",193,20.47%
4096,"2,598",161,11.09%
4097,"2,251",20,1.55%
4098,"1,673",189,16.80%
4099,"1,285",84,12.76%
4100,956,32,4.81%
4101,36,0,2.78%
4102,928,42,7.11%
4103,0,0,0.00%
4104,"2,191",193,14.10%
4105,"2,015",46,3.18%
4106,571,23,6.83%
4108,"3,609",379,16.29%
4109,"1,162",152,16.95%
4110,"1,193",171,25.23%
4111,434,11,3.23%
4112,731,167,39.95%
4113,956,104,14.44%
4114,78,3,5.13%
4115,212,31,23.58%
4116,39,3,15.38%
4117,523,79,25.62%
4118,73,2,4.11%
4119,599,68,19.87%
4120,224,16,14.73%
4122,70,11,31.43%
4123,143,21,23.78%
4124,"2,242",147,10.70%
4125,95,4,6.32%
4126,5,0,0.00%
4127,81,4,6.17%
4128,144,30,35.42%
4130,868,28,4.49%
4131,397,17,8.31%
4132,"2,447",104,6.66%
4134,5,0,0.00%
4135,0,0,0.00%
4136,556,24,7.37%
4137,119,2,9.24%
4138,0,0,0.00%
4139,0,0,0.00%
4140,0,0,0.00%
4141,411,10,3.89%
4142,767,18,5.22%
4143,"4,722",77,2.90%
4144,530,6,2.26%
4145,6,1,33.33%
4146,39,5,15.38%
4147,291,34,21.99%
4148,160,13,20.62%
4149,541,32,9.43%
4150,"1,896",47,3.59%
4153,207,21,19.81%
4154,733,74,16.51%
4155,"2,317",358,27.15%
4156,"1,123",95,12.20%
4157,"1,741",230,22.69%
4158,523,11,2.87%
4159,25,0,0.00%
4160,"2,068",55,4.45%
4161,743,33,7.27%
4162,"2,506",105,5.55%
4163,"2,151",115,8.09%
4164,"2,402",39,2.66%
4165,75,4,8.00%
4166,370,21,9.46%
4167,48,4,10.42%
4168,"2,458",175,12.20%
4169,333,30,20.12%
4170,427,25,11.01%
4171,"1,234",164,25.20%
4172,"1,426",145,16.76%
4173,"1,610",177,18.57%
4174,"1,409",121,13.91%
4175,0,0,0.00%
4176,955,151,26.28%
4177,41,5,14.63%
4178,3,1,33.33%
4179,"2,883",463,24.56%
4180,4,0,0.00%
4181,2,0,50.00%
4182,0,0,0.00%
4183,78,15,37.18%
4184,25,0,8.00%
4185,1,1,100.00%
4186,94,19,38.30%
4187,0,0,0.00%
4189,983,14,2.64%
4190,6,0,0.00%
4191,3,0,0.00%
