Precinct,Race,Candidate,Total Votes,Vote Percentage
2073,District 1,William T. Lamar-Boone,5,2.65
2074,Mayor,Ray Adam Basaldua,1,1.64
2074,Mayor,Christopher T. Schuchardt,6,9.84
2074,Mayor,Christopher Longoria,2,3.28
2074,Mayor,Ron Nirenberg (i),44,72.13
2074,Mayor,Armando Dominguez,1,1.64
2074,Mayor,Michael Idrogo,0,0
2074,Mayor,Gary Allen,1,1.64
2074,Mayor,Michael Samaniego,2,3.28
2074,Mayor,Diana Flores Uriegas,4,6.56
2074,District 5,Arturo Espinosa,5,8.47
2074,District 5,Teri Castillo (i),36,61.02
2074,District 5,Rudy Lopez,18,30.51
2075,Mayor,Ray Adam Basaldua,4,5
2075,Mayor,Christopher T. Schuchardt,5,6.25
2075,Mayor,Christopher Longoria,4,5
2075,Mayor,Ron Nirenberg (i),57,71.25
2075,Mayor,Armando Dominguez,1,1.25
2075,Mayor,Michael Idrogo,0,0
2075,Mayor,Gary Allen,6,7.5
2075,Mayor,Michael Samaniego,1,1.25
2075,Mayor,Diana Flores Uriegas,2,2.5
2075,District 5,Arturo Espinosa,7,9.09
2075,District 5,Teri Castillo (i),54,70.13
2075,District 5,Rudy Lopez,16,20.78
2076,Mayor,Ray Adam Basaldua,8,1.76
2076,Mayor,Christopher T. Schuchardt,97,21.32
2076,Mayor,Christopher Longoria,12,2.64
2076,Mayor,Ron Nirenberg (i),247,54.29
2076,Mayor,Armando Dominguez,3,0.66
2076,Mayor,Michael Idrogo,2,0.44
2076,Mayor,Gary Allen,38,8.35
2076,Mayor,Michael Samaniego,34,7.47
2076,Mayor,Diana Flores Uriegas,14,3.08
2076,District 7,Sandragrace Martinez,80,18.48
2076,District 7,Jacob B. Chapa,62,14.32
2076,District 7,Dan Rossiter,106,24.48
2076,District 7,Marina Alderete Gavito,150,34.64
2076,District 7,"Andrew ""AJ"" Luck",35,8.08
2077,Mayor,Ray Adam Basaldua,6,1.14
2077,Mayor,Christopher T. Schuchardt,114,21.59
2077,Mayor,Christopher Longoria,13,2.46
2077,Mayor,Ron Nirenberg (i),302,57.2
2077,Mayor,Armando Dominguez,8,1.52
2077,Mayor,Michael Idrogo,2,0.38
2077,Mayor,Gary Allen,36,6.82
2077,Mayor,Michael Samaniego,31,5.87
2077,Mayor,Diana Flores Uriegas,16,3.03
2077,District 6,Irina Rudolph,202,39.76
2077,District 6,Melissa Cabello Havrda (i),263,51.77
2077,District 6,Chris Baecker,43,8.46
2078,Mayor,Ray Adam Basaldua,7,1.92
2078,Mayor,Christopher T. Schuchardt,64,17.53
2078,Mayor,Christopher Longoria,14,3.84
2078,Mayor,Ron Nirenberg (i),216,59.18
2078,Mayor,Armando Dominguez,4,1.1
2078,Mayor,Michael Idrogo,4,1.1
2078,Mayor,Gary Allen,24,6.58
2078,Mayor,Michael Samaniego,18,4.93
2078,Mayor,Diana Flores Uriegas,14,3.84
2078,District 6,Irina Rudolph,119,34.39
2078,District 6,Melissa Cabello Havrda (i),181,52.31
2078,District 6,Chris Baecker,46,13.29
2079,Mayor,Ray Adam Basaldua,0,0
2079,Mayor,Christopher T. Schuchardt,4,12.5
2079,Mayor,Christopher Longoria,1,3.12
2079,Mayor,Ron Nirenberg (i),21,65.62
2079,Mayor,Armando Dominguez,0,0
2079,Mayor,Michael Idrogo,0,0
2079,Mayor,Gary Allen,0,0
2079,Mayor,Michael Samaniego,2,6.25
2079,Mayor,Diana Flores Uriegas,4,12.5
2079,District 5,Arturo Espinosa,2,5.71
2079,District 5,Teri Castillo (i),21,60
2079,District 5,Rudy Lopez,12,34.29
2080,Mayor,Ray Adam Basaldua,4,2.33
2080,Mayor,Christopher T. Schuchardt,26,15.12
2080,Mayor,Christopher Longoria,2,1.16
2080,Mayor,Ron Nirenberg (i),113,65.7
2080,Mayor,Armando Dominguez,1,0.58
2080,Mayor,Michael Idrogo,2,1.16
2080,Mayor,Gary Allen,13,7.56
2080,Mayor,Michael Samaniego,4,2.33
2080,Mayor,Diana Flores Uriegas,7,4.07
2080,District 1,Jeremy Roberts,33,19.64
2080,District 1,Roberto Rios Ortega,8,4.76
2080,District 1,Sukh Kaur,48,28.57
2080,District 1,Ernest Salinas,20,11.9
2080,District 1,Lauro Bustamante,4,2.38
2080,District 1,Mario Bravo (i),49,29.17
2080,District 1,William T. Lamar-Boone,6,3.57
2081,Mayor,Ray Adam Basaldua,2,1.46
2081,Mayor,Christopher T. Schuchardt,27,19.71
2081,Mayor,Christopher Longoria,2,1.46
2081,Mayor,Ron Nirenberg (i),92,67.15
2081,Mayor,Armando Dominguez,0,0
2081,Mayor,Michael Idrogo,0,0
2081,Mayor,Gary Allen,4,2.92
2081,Mayor,Michael Samaniego,4,2.92
2081,Mayor,Diana Flores Uriegas,6,4.38
2081,District 7,Sandragrace Martinez,23,17.69
2081,District 7,Jacob B. Chapa,16,12.31
2081,District 7,Dan Rossiter,22,16.92
2081,District 7,Marina Alderete Gavito,66,50.77
2081,District 7,"Andrew ""AJ"" Luck",3,2.31
2082,Mayor,Ray Adam Basaldua,4,1.78
2082,Mayor,Christopher T. Schuchardt,49,21.78
2082,Mayor,Christopher Longoria,6,2.67
2082,Mayor,Ron Nirenberg (i),134,59.56
2082,Mayor,Armando Dominguez,0,0
2082,Mayor,Michael Idrogo,1,0.44
2082,Mayor,Gary Allen,8,3.56
2082,Mayor,Michael Samaniego,9,4
2082,Mayor,Diana Flores Uriegas,14,6.22
2082,District 1,Jeremy Roberts,31,14.03
2082,District 1,Roberto Rios Ortega,12,5.43
2082,District 1,Sukh Kaur,55,24.89
2082,District 1,Ernest Salinas,43,19.46
2082,District 1,Lauro Bustamante,10,4.52
2082,District 1,Mario Bravo (i),66,29.86
2082,District 1,William T. Lamar-Boone,4,1.81
2083,Mayor,Ray Adam Basaldua,0,0
2083,Mayor,Christopher T. Schuchardt,17,8.25
2083,Mayor,Christopher Longoria,2,0.97
2083,Mayor,Ron Nirenberg (i),167,81.07
2083,Mayor,Armando Dominguez,0,0
2083,Mayor,Michael Idrogo,1,0.49
2083,Mayor,Gary Allen,5,2.43
2083,Mayor,Michael Samaniego,3,1.46
2083,Mayor,Diana Flores Uriegas,11,5.34
2083,District 7,Sandragrace Martinez,36,18
2083,District 7,Jacob B. Chapa,15,7.5
2083,District 7,Dan Rossiter,23,11.5
2083,District 7,Marina Alderete Gavito,121,60.5
2083,District 7,"Andrew ""AJ"" Luck",5,2.5
2084,Mayor,Ray Adam Basaldua,11,1.08
2084,Mayor,Christopher T. Schuchardt,319,31.21
2084,Mayor,Christopher Longoria,17,1.66
