Precinct,Race,Candidate,Total Votes
2171,"For Council, City of San Antonio, District 7",Dan Rossiter,49
2171,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,60
2172,"For Council, City of San Antonio, District 7",Vote,For
2172,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2172,"For Council, City of San Antonio, District 7",Dan Rossiter,8
2172,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,12
2173,"For Council, City of San Antonio, District 7",Vote,For
2173,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2173,"For Council, City of San Antonio, District 7",Dan Rossiter,32
2173,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,64
2174,"For Council, City of San Antonio, District 7",Vote,For
2174,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2174,"For Council, City of San Antonio, District 7",Dan Rossiter,73
2174,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,209
2176,"For Council, City of San Antonio, District 7",Vote,For
2176,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2176,"For Council, City of San Antonio, District 7",Dan Rossiter,67
2176,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,45
2177,"For Council, City of San Antonio, District 1",Vote,For
2177,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2177,"For Council, City of San Antonio, District 1",Sukh,Kaur
2177,"For Council, City of San Antonio, District 1",Mario,Bravo
2178,"For Council, City of San Antonio, District 7",Vote,For
2178,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2178,"For Council, City of San Antonio, District 7",Dan Rossiter,46
2178,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,135
2179,"For Council, City of San Antonio, District 7",Vote,For
2179,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2179,"For Council, City of San Antonio, District 7",Dan,Rossiter
2179,"For Council, City of San Antonio, District 7",Marina Alderete,Gavito
3004,"For Council, City of San Antonio, District 1",Vote,For
3004,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3004,"For Council, City of San Antonio, District 1",Sukh,Kaur
